,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
89,Checking out Japanese plots of land for sale!,https://i.ytimg.com/vi/jR6BKVlpNa0/default.jpg,702,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'plots', 'land', 'for sale', 'sale', 'real', 'estate']",2020-09-10T12:19:34Z,552741,31958,1560,15分32秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
90,We built a scratcher for our cats,https://i.ytimg.com/vi/SexqUke8Cc0/default.jpg,1018,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life', 'scratch', 'pad', 'board', 'scratching', 'scratcher']",2021-05-09T15:52:37Z,540536,29373,1033,18分59秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
91,Surprising my husband with handmade bath tray for his birthday,https://i.ytimg.com/vi/DS9bk543TC0/default.jpg,1554,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2023-06-09T14:43:21Z,533787,41148,1833,19分47秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
92,Samurai town with a CAT STORE,https://i.ytimg.com/vi/ZaVCjrHrHvU/default.jpg,1383,"['japan', 'japanese', 'cat', 'store', 'samurai', 'town', 'kakunodate', 'bukeyashiki', 'shop', 'meow', 'kitty']",2016-04-05T10:15:54Z,533778,14337,805,8分33秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
93,We built a secret Japanese privacy garden,https://i.ytimg.com/vi/Lf13YfRi24E/default.jpg,1419,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2025-05-05T13:06:14Z,533167,33764,1374,22分12秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
94,Our cats get a full health check-up,https://i.ytimg.com/vi/3k-d1g0oVN8/default.jpg,979,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2022-11-23T12:35:44Z,531802,31286,1464,13分23秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
95,I cut a hole in our wall and tried making a cat door 😬,https://i.ytimg.com/vi/9SmEdJQGR-U/default.jpg,1356,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2023-10-11T10:41:55Z,529752,28028,1654,23分8秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
96,Introducing our Japanese yard!,https://i.ytimg.com/vi/N5FeFpm3eMc/default.jpg,1674,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2021-04-15T16:20:10Z,523429,36946,2399,15分15秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
97,A Day in Ota,https://i.ytimg.com/vi/JcZHt7s0oP8/default.jpg,1389,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'day', 'ota', 'day in the life', 'vlog', 'blog', 'daily', 'life', 'tokyo', 'ward', 'レイチェル', 'ジュン', 'ブログ', '大田区', '観光', 'おすすめ', '羽田', '空港', '外国', '海外', '旅行', '英会話', '英語', 'yt:cc=on', 'haneda', 'haneda airport']",2017-04-28T14:01:33Z,507192,15502,787,15分48秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
98,Our cats play with their Christmas presents,https://i.ytimg.com/vi/aMXxZujVNOk/default.jpg,758,"['japan', 'japanese', 'rachel', 'jun', 'rachel and jun', 'rachel & jun', 'vlog', 'blog', 'daily', 'life']",2023-12-22T12:36:51Z,506364,27346,867,14分49秒,22,Rachel & Jun's Adventures!,1240000,2013-11-03T02:53:25Z,268
