,Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
32,Toy's that shouldn't be toy’s #Shorts,https://i.ytimg.com/vi/SrEF6cYmkeE/default.jpg,1267,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Video tutorials', 'Camera basics']",2022-03-11T17:54:00Z,2868077,166681,2381,27秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
33,10 PREMIERE PRO tips you SHOULD KNOW! Tutorial from Beginner to Pro,https://i.ytimg.com/vi/KnWhWVarfqM/default.jpg,1260,"['Premiere Pro', 'Adobe Premiere Pro', 'How to use premiere pro', 'Premiere Pro Tips', '10 tips', '10 tips with premiere pro', 'Peter McKinnon Tutorial', 'Peter McKinnon', 'Video Editing', 'Video Editing Tips', 'How to edit videos', 'Video Editing Hacks', 'Premiere Pro Shortcuts', 'How to un-Freeze premiere Pro', 'Premiere Pro Frozen', 'Spinning WHeel of Death Premiere Pro', 'Adobe', 'Adobe CC', 'Adobe Tutorials', 'Peter McKinnon Video Editing Tips']",2018-08-16T17:33:53Z,2848967,114145,3845,17分35秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
34,Filmmaker reacts to INCREDIBLE HOLLYWOOD CAMERA MOVES!,https://i.ytimg.com/vi/pAuwI_BBAmY/default.jpg,1805,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Video tutorials', 'Camera basics', 'Filmmaker Reacts to', 'Reacting To', 'Hollywood Movie Magic', 'MOvie Magic', 'BTS', 'Behind The Scenes', 'Peter McKinnon Reacting', 'Filmmakee Reacts to hollywood', 'Reacting to Hollywood', 'BTS Hollywood', 'How movies are made']",2019-04-29T14:00:08Z,2832304,82387,1857,10分12秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
35,The most UNDERRATED lens EVERYONE needs!,https://i.ytimg.com/vi/CdHV7Uzw2E4/default.jpg,1187,"['50mm', 'what lens should you buy', 'what lens should I buy', 'best lens for portraits', 'portrait lens', 'Nifty 50', '50mm 1.8', 'Fast aperture', 'what is aperture', 'what is a fast lens', 'best lens for nighttime', 'best low light lens', 'take photos in low light', 'Canon 50mm', 'Peter McKinnon', 'Peter McKinnon Tutorial', 'Two Minute Tuesday', '2MT', 'Peter McKinnon Two Minute Tuesday', 'Full Frame Sensor', 'APSC Sensor', '1.6x Crop Sensor', 'lens choice', 'buying a new lens', 'Photography', 'Photography tutorial']",2017-10-10T18:06:32Z,2819121,81386,3879,4分23秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
36,Making Coffee with an Egg & it's SHELL!  #Shorts,https://i.ytimg.com/vi/7VUBg6f4G4E/default.jpg,1267,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Egg coffee', 'unique way to brew coffee', 'French press', 'how to make coffee', 'egg shell coffee', 'how to make egg coffee', 'brewing coffee without a coffee maker', 'Tim Hortons', 'filter coffee', 'coffee without a filter', 'how to make coffee without a coffee maker', 'specialty coffee', 'Swedish coffee', 'church basement coffee', 'peter mckinnon coffee']",2022-02-23T14:23:33Z,2816074,93272,1032,58秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
37,"Can a Professional Photographer spot the difference? $400 Camera VS $4,000.00 Camera",https://i.ytimg.com/vi/N8LOoQxSi8M/default.jpg,1264,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Video tutorials', 'Camera basics', '400 VS 4000', 'VS', 'Cheap cameras', 'Expensive gear', 'Gear doesnt matter', 'does gear matter', 'Cheap beginner cameras', 'Beginner Cameras', 'what camera should I buy', 'First camera', 'What gear to buy', 'Canon VS Sony', 'Canon EOS R', 'Canon T100', 'Canon EOS T100', 'T100', 'Cheap Canon Camera']",2018-10-22T16:57:25Z,2765789,88294,12534,12分34秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
38,HOW TO FILM YOURSELF,https://i.ytimg.com/vi/dEfwjZZeBC4/default.jpg,1595,"['How to film yourself', 'filming yourself', 'vlog', 'vlogging', 'how to vlog', 'cinematography', 'photography', 'Peter McKinnon', 'Peter McKinnon Tutorials', 'How to get better videos', 'Manfrotto Friction Arm', 'Friction Arm', 'Magic Arm', 'Joby Tripod', 'Joby Gorilla Pod', 'Phoneography', 'Joby Phone Mount', 'Mobile photography', 'Pacing', 'Crrative angles', 'how to shoot creative angles', 'GoPro', 'GoPro Hero 6', 'Coffee', 'Peter McKinnon VLOG']",2018-01-05T18:00:04Z,2672943,137823,4322,6分34秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
39,Shaky Footage? How to get SMOOTH HANDHELD shots like a beast!,https://i.ytimg.com/vi/59dl-mhQWBA/default.jpg,1805,"['Shaky Footage', 'How to fix shaky footage', 'how to get smooth footage', 'how to shoot smooth footage', 'how to get steady footage', 'steady footage', 'shooting handheld', 'how to shoot handheld', 'handheld camera stabilizer', 'camera stabilizer', '3 axis gimbal', 'slider', 'tripod', 'step up your filmmaking', 'make better videos', 'get better at shooting video', 'DSLR tutorial', 'DSLR video tutorial', 'Peter McKinnon', 'Peter McKinnon tutorial', 'film handheld', 'run and gun filmmaking']",2017-05-13T18:39:30Z,2593378,101737,3083,12分9秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
40,How to make your pictures COME TO LIFE using a CINEMAGRAPH,https://i.ytimg.com/vi/-dD_yeVMUzo/default.jpg,1174,"['Cinemagraph', 'Cinematography', 'Photography', 'Cinema', 'Moving photo', 'Still photo moving', 'how to make a cinemagraph', 'photoshop tutorial', 'peter mckinnon', 'adobe photoshop', 'photoshop', 'how to make photos look better', 'how to use moving video in photos', 'how to make my photos move', 'Cinematic photos', 'Cinema photos', 'make your photos move with video', 'Photo Tutorials', 'Cinema Tutorials']",2017-02-10T16:33:29Z,2423921,70317,2066,14分53秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
41,The Mountains Won't Remember Me,https://i.ytimg.com/vi/2Z0lv6qlj0Q/default.jpg,2305,"['Peter McKinnon', 'Peter McKinnon photography', 'Peter McKinnon Tutorials', 'Photography', 'Cinematography', 'Learn Cameras', 'Learn Photography', 'Learn Video', 'Video tutorials', 'Camera basics', 'Peter McKinnon Short Film', 'Short FIlm', 'The Bucket Shot', 'Peter McKinnon Bucket Shot 2', 'Bucket Shot Sequel', 'Peter McKinnon Filmmaker', 'How to make films', 'RED', 'RED Monstro', 'DJI Ronin 2', 'Banff National Park', 'Alberta Canada']",2019-10-23T17:01:04Z,2419048,102314,7022,15分25秒,22,Peter McKinnon,5980000,2010-02-16T05:31:29Z,751
