Video Title,Thumbnail URL,Description Length,Tags,Published Data & Time,View Count,Like Count,Comment Count,Duration,Category,Channel Title,Channel Subscriber,Channel Age,Total number of channel uploads
trying this VIRAL foundation goes horribly wrong! 🫨,https://i.ytimg.com/vi/KLeSp5M02Dk/default.jpg,0,[],2023-09-02T16:48:28Z,10464039,536278,1858,1分,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
RIHANNA: FENTY BEAUTY - Review + First Impressions,https://i.ytimg.com/vi/N_zDcuX1Y54/default.jpg,1731,"['rihanna', 'fenty beauty', 'rihanna fenty beauty', 'fenty', 'fenty beauty review', 'honest', 'rihanna makeup', 'rihanna makeup line', 'trophy wife', 'trophy wife on light skin', 'killawat highlighter', 'highlighter', 'rihanna foundation', 'foundation', 'nikkietutorials', 'nikkie tutorials', 'nikki tutorials', 'nikkitutorials', 'first impressions', 'first impression', 'swatches', 'makeup', 'makeup tutorial', 'how to', 'how to apply', 'pro filter foundation', 'rihanna lipgloss', 'lipgloss', 'brutal', 'fail', 'epic fail', 'dissapointed']",2017-09-19T20:33:57Z,10382611,252869,10110,16分22秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
trying SUNSET BLUSH? 🌅🩷🧡,https://i.ytimg.com/vi/6o5hcC934Ec/default.jpg,0,[],2024-05-06T15:04:49Z,10160342,648129,3033,1分,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
THE NATURAL MAKEUP CHALLENGE!,https://i.ytimg.com/vi/RhyY-bQ64QU/default.jpg,1693,"['natural makeup challenge', 'natural makeup', 'challenge', 'makeup challenge', 'makeup', 'makeup tutorial', 'natural makeup tutorial', 'tutorial', 'nikkietutorials', 'nikkie tutorials', 'nikkitutorials', 'nikki tutorials', 'fail', 'funny', 'how to', 'how to apply', 'foundation', 'cosmetics', 'look', 'beauty', 'tansformation', 'extreme transformation', 'glowy', 'highlighter', 'nude lips', 'glossy', 'glossy lips', 'eyebrows', 'personal', 'winter wonder week', 'winter', 'wonder', 'week', '2017', 'neutral', 'neutral makeup', 'holiday', 'holiday makeup', 'christmas']",2017-12-24T21:03:01Z,9655442,415733,122018,14分29秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
Side by Side + Jeffree Star!,https://i.ytimg.com/vi/cV2WZfLYh4k/default.jpg,1354,"['get ready with me', 'get ready with us', 'get ready with jeffree star', 'jeffree star', 'jeffree', 'star', 'jefrey star', 'jeffree star lipsticks', 'jeffree star cosmetics', 'lipsticks', 'velour liquid lipstick', 'nikkietutorials', 'nikkie tutorials', 'nikkitutorials', 'nikki tutorials', 'power of makeup', 'beauty', 'beauty talk', 'chat', 'chit', 'chit chat', 'laugh', 'funny', 'laughter', 'glam', 'glamour', 'hilarious', 'smokey eyes', 'tutorial', 'makeup tutorial', 'how-to', 'tips', 'tricks', 'instructions', 'pink', 'cosmetics', 'baking', 'makeup', 'makeup look', 'look', 'tattoo']",2015-11-15T21:08:12Z,9644903,240099,12626,13分6秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
the most REFLECTIVE pigment EVER! 🪩,https://i.ytimg.com/vi/3PLo1lhWZyA/default.jpg,0,[],2024-02-18T18:26:00Z,9422078,648622,3034,58秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
the BEST fake freckle hack ever? 🫣,https://i.ytimg.com/vi/4g0lS9XLf9Y/default.jpg,0,[],2022-07-30T08:18:35Z,9355242,484634,2040,51秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
FULL FACE USING ONLY MY FINGERS (NO BRUSHES) Challenge | NikkieTutorials,https://i.ytimg.com/vi/JadaTnCDlbg/default.jpg,3504,"['full face using only fingers challenge', 'no brushes makeup challenge', 'fingers only challenge', 'nu brushes', 'brushes', 'full face using only', 'challenge', 'makeup challenge', 'nikkietutorials', 'nikkie tutorials', 'nikkitutorials', 'nikki tutorials', 'kids makeup challenge', 'kids makeup', 'drama', 'funny', 'disaster', 'tutorial', 'makeup', 'makeup tutorial', 'how-to', 'how to apply', 'foundation', 'glowy', 'contour', 'glitter', 'glitter eyes', 'party eyes', 'smokey eyes', 'smokey', 'lipstick', 'glow', 'affordable', 'colourpop', 'kaepop', 'sparkly', 'fail']",2016-08-28T19:59:48Z,9339639,295187,26835,14分40秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
if “trusting the process” was a makeup look 😱,https://i.ytimg.com/vi/L0mCS-xdzbc/default.jpg,0,[],2024-07-07T17:33:45Z,9237277,691340,4729,1分,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
SHANE DAWSON X JEFFREE STAR Conspiracy Palette... THE TRUTH!!! | NikkieTutorials,https://i.ytimg.com/vi/EUb2dvsJmAI/default.jpg,1259,"['shane dawson', 'jeffree star', 'jeffree', 'star', 'shane', 'dawson', 'shane x jeffree', 'shane dawson jeffree star eyeshadow palette', 'conspiracy eyeshadow palette', 'review', 'makeup review', 'the truth', 'truth', 'drama', 'mini controversy', 'the beautiful word of jeffree star', 'nikkietutorials', 'nikkie tutorials', 'nikkitutorials', 'nikki tutorials', 'jeffree star cosmetics', 'series', 'jeffree shane series', 'makeup', 'makeup tutorial', 'tutorial', 'how to', 'how to apply', 'eyeshadow', 'eyeliner', 'lipstick', 'velour liquid lipstick']",2019-11-01T22:09:06Z,8902871,385549,12868,16分29秒,26,NikkieTutorials,14800000,2008-06-23T17:34:43Z,916
